,GOOD,SPY,BAD
2021-04-28 04:00:00,96.75963354292382,100.42583756605615,97.08740799181534
2021-05-27 04:00:00,101.83411547746928,102.74742188702479,101.18517948169074
2021-06-28 04:00:00,95.03312170357466,105.47945205479454,90.86308476177607
2021-07-28 04:00:00,94.59116718382295,107.26489148837928,89.04485339210879
2021-08-26 04:00:00,97.17800808678591,106.73644246062288,90.01827407901204
2021-09-27 04:00:00,97.29180340578674,109.9481812118414,87.89689596132538
2021-10-26 04:00:00,98.68856438366367,113.19839926119751,81.98197354195463
2021-11-24 05:00:00,94.70532236002349,115.48920014365606,72.86051937032721
2021-12-27 05:00:00,80.32987676220755,104.87147914422043,57.53530640632274
2022-01-26 05:00:00,83.63746907211585,105.92837719973325,54.2434992132817
2022-02-25 05:00:00,87.01620097873325,110.64850443794573,57.721074581336666
2022-03-28 04:00:00,81.02517982747266,101.28520855779593,44.62918603572376
2022-04-27 04:00:00,79.91309216750678,98.38386947822075,38.87942807638829
2022-05-26 04:00:00,75.24444224174447,92.79667538864094,40.405106536075735
2022-06-28 04:00:00,79.30336709030928,98.98671181570984,40.92186468540309
2022-07-28 04:00:00,82.50705198954854,98.80714175773436,62.92547681980161
2022-08-26 04:00:00,73.26174736962882,88.94874557488073,49.01903674473094
2022-09-27 04:00:00,78.44301003810375,93.5123903340003,47.779455271847695
2022-10-26 04:00:00,78.82938535132563,98.48391565337849,45.419634277123464
2022-11-25 05:00:00,75.46815699219015,93.78944128059105,38.26968480874834
2022-12-27 05:00:00,77.90433754873622,99.76142835154688,53.684761232134406
2023-01-27 05:00:00,77.45735026241198,97.44497460366325,49.06405166379247
2023-02-28 05:00:00,73.260358456784,99.07136627161256,41.42229888502727
2023-03-29 04:00:00,73.00843765458522,102.67046329074961,39.469941457579935
2023-04-28 04:00:00,72.82104025529352,103.71966548663487,38.422136979409544
2023-05-30 04:00:00,74.6153628701959,108.54753475963268,38.031677701309086
2023-06-29 04:00:00,78.2585095871507,113.42414447693811,40.59055173826482
2023-07-31 04:00:00,72.8781120158609,111.28469550048746,33.94859689482749
2023-08-29 04:00:00,70.56915689431688,106.54661125647738,28.898464450289445
2023-09-28 04:00:00,64.06240554780524,102.11123082448314,25.27768997046958
2023-10-27 04:00:00,70.9821742470398,113.11374480529479,26.783308554759017
2023-11-28 05:00:00,80.88370559666988,119.00364270689042,30.061637230052067
2023-12-28 05:00:00,79.70091328461548,122.54886870863481,27.75920464617414
2024-01-30 05:00:00,86.13520561511908,126.84059309424869,27.664439460542596
2024-02-29 05:00:00,87.10385387080262,130.7603509311991,25.05740247510142
2024-04-01 04:00:00,81.27736886241232,125.70673644246067,22.46154795844009
2024-04-30 04:00:00,83.88167719334218,130.8732235390694,22.587057466624323
2024-05-30 04:00:00,82.92890006697795,137.00682366220315,19.5160365605027
2024-07-01 04:00:00,87.30858970310817,138.37925196244427,19.81105256805477
2024-07-31 04:00:00,87.31204313249395,140.27499871735682,17.245111883796042
2024-08-29 04:00:00,88.59590409870731,144.58724539531073,16.84777835927941
2024-09-30 04:00:00,92.55780340801972,146.6061259042636,16.749061306651573
2024-10-29 04:00:00,98.59083438407664,150.90554614950497,15.413007942266036
2024-11-27 05:00:00,92.7107567766292,148.7301831614592,16.172853822532325
2024-12-30 05:00:00,93.11398753937262,152.17023241496085,15.038559927418257
2025-01-31 05:00:00,81.31874440819657,145.8570622338516,12.721856543926318
2025-03-04 05:00:00,78.81246950083488,143.16864193730447,11.114049701287488
2025-04-02 04:00:00,79.44029273073954,143.73557026319844,10.67952416344507
2025-05-02 04:00:00,82.66560206719386,151.17490123646817,10.35520307598034
2025-06-03 04:00:00,87.73062473968437,159.06059206813407,10.413680436194884
2025-07-03 04:00:00,86.60973095402686,160.543327689703,10.488463842300746
2025-08-04 04:00:00,88.9590410658383,163.73967472166643,10.501217925306316
2025-09-03 04:00:00,100.07028563986302,170.69416653840236,10.626313327961935
2025-10-02 04:00:00,102.17986093502103,173.97003745318355,10.118569951411924
2025-10-31 04:00:00,96.4137363779354,173.8340772664307,9.292832607455088
2025-12-02 05:00:00,98.94246321865403,174.76784156790316,8.738028266049664
2026-01-02 05:00:00,107.5832328041816,176.39423323585248,8.235930278661577
2026-02-03 05:00:00,103.01460296598637,174.29069827099687,7.734977271155537
2026-03-05 05:00:00,101.73975783147931,169.03442614540046,6.88224626406271
2026-04-06 04:00:00,119.8930253099608,185.6677440870145,7.021065442675354
